Team,Spread,Total,Moneyline,Event ID
Phillies,-1.5+130,O 7.5−115,−130,fc414bfc-33b5-400d-9d43-111ac9496731
Blue Jays,+1.5−155,U 7.5−105,+110,fc414bfc-33b5-400d-9d43-111ac9496731
White Sox,+1.5+154,O 8.5−110,+300,dff8f4c4-a089-4454-bea6-adf25e2d84be
Orioles,-1.5−185,U 8.5−110,−380,dff8f4c4-a089-4454-bea6-adf25e2d84be
Nationals,-1.5+120,O 8.5−110,−148,a99ecf5b-8477-4330-846a-ed1aa55d260d
Marlins,+1.5−142,U 8.5−110,+124,a99ecf5b-8477-4330-846a-ed1aa55d260d
Astros,-1.5+110,O 9−105,−148,7dd518df-3071-4dcc-a058-adfc134ee3a5
Reds,+1.5−130,U 9−115,+124,7dd518df-3071-4dcc-a058-adfc134ee3a5
Twins,-1.5+150,O 8−105,−112,c478c59e-74c4-499a-bc09-18addac14f98
Rays,+1.5−180,U 8−115,−108,c478c59e-74c4-499a-bc09-18addac14f98
Red Sox,-1.5+154,O 8−105,−108,d5547cbe-82a3-428b-999c-a115042c062d
Mets,+1.5−185,U 8−115,−112,d5547cbe-82a3-428b-999c-a115042c062d
Rockies,+1.5+114,O 8.5−120,+235,5169c2fb-a07c-48d3-bfab-296f2af5b408
Braves,-1.5−135,U 8.5+100,−290,5169c2fb-a07c-48d3-bfab-296f2af5b408
Guardians,+1.5−180,O 8.5−120,+114,ddf11dd1-f455-4f57-ad86-1c04a4b32bb4
Royals,-1.5+150,U 8.5+100,−135,ddf11dd1-f455-4f57-ad86-1c04a4b32bb4
Cardinals,-1.5+170,O 7.5−112,+100,156c1c5c-0f97-46c6-8922-c2659dd75087
Brewers,+1.5−205,U 7.5−108,−120,156c1c5c-0f97-46c6-8922-c2659dd75087
Pirates,+1.5−115,O 8.5−102,+170,c4681ea5-54f8-4ac5-be99-5993de212e1b
Cubs,-1.5−105,U 8.5−118,−205,c4681ea5-54f8-4ac5-be99-5993de212e1b
Yankees,-1.5+150,O 8.5−118,−110,8e27822c-c2b4-405a-86ab-07fe9badddae
Rangers,+1.5−180,U 8.5−102,−110,8e27822c-c2b4-405a-86ab-07fe9badddae
Dodgers,-1.5−125,O 10−112,−205,796901a3-5ad7-49da-9c80-dc8bc29704d2
Angels,+1.5+105,U 10−108,+170,796901a3-5ad7-49da-9c80-dc8bc29704d2
Tigers,+1.5−130,O 8−105,+170,3379ae49-3448-4b7e-bf47-9318476ef462
Padres,-1.5+110,U 8−115,−205,3379ae49-3448-4b7e-bf47-9318476ef462
Mariners,-1.5+120,O 7.5−102,−148,6f5de5c6-04b0-4ba8-93e5-f44b89d973e3
Athletics,+1.5−142,U 7.5−118,+124,6f5de5c6-04b0-4ba8-93e5-f44b89d973e3
Diamondbacks,-1.5+124,O 7.5−118,−135,d6dde295-50a2-413a-a27b-c6e3cc0452e4
Giants,+1.5−148,U 7.5−102,+114,d6dde295-50a2-413a-a27b-c6e3cc0452e4
